passenger_count,trip_distance,fare_amount,tip_amount,total_amount
1,12.04,35.5,7.26,43.56
5,11.8,38.5,9.17,55.01
1,2.63,17.0,0.0,17.8
1,0.5,4.0,0.75,5.55
1,3.36,12.5,2.66,15.96
1,3.3,16.5,4.57,22.87
1,18.15,52.0,0.0,58.34
1,12.5,39.0,9.05,54.39
1,1.26,9.0,0.0,9.8
1,3.36,22.5,0.0,23.3
6,2.41,14.0,2.96,17.76
1,2.76,12.0,0.0,12.8
1,1.2,5.5,1.7,8.5
1,1.6,9.5,2.05,12.35
1,0.4,3.5,0.0,4.3
1,4.27,18.0,0.0,18.8
1,0.8,7.0,1.56,9.36
4,3.21,12.0,2.66,15.96
2,3.83,14.0,0.0,15.3
1,0.65,7.0,1.95,9.75
3,0.52,6.0,0.0,6.8
1,2.6,13.0,3.55,17.85
1,2.2,11.0,0.0,11.8
2,10.3,29.5,3.0,38.84
2,14.11,41.0,8.0,55.34
1,1.07,7.0,1.95,9.75
1,1.02,6.0,1.46,8.76
1,6.7,27.0,0.0,27.8
1,0.84,5.5,1.58,7.88
1,0.49,5.0,1.45,7.25
6,1.22,6.5,1.0,8.3
1,5.9,26.5,0.0,27.3
1,1.13,7.5,1.0,9.3
1,1.2,10.0,1.0,11.8
1,0.7,4.5,0.0,5.3
1,0.6,4.0,1.0,6.3
1,1.5,8.0,1.76,10.56
2,1.96,10.5,0.0,11.3
1,1.34,7.5,1.0,9.3
4,1.16,5.5,0.0,7.3
1,18.36,50.5,10.0,67.84
3,1.5,8.5,2.05,12.35
1,2.19,9.0,1.0,10.8
1,20.38,52.0,5.0,57.8
2,3.82,17.0,0.0,17.8
1,0.89,5.5,1.0,7.3
1,6.93,24.5,3.0,28.8
2,3.02,15.0,4.2,21.0
5,0.99,6.5,1.46,8.76
3,1.72,14.5,0.0,15.3
1,0.9,10.0,0.0,10.8
1,2.2,13.0,2.95,17.75
1,1.5,9.0,1.95,11.75
2,2.4,9.5,1.0,12.3
2,2.3,13.5,2.0,16.3
5,2.18,9.5,0.0,10.3
6,2.64,11.5,0.0,13.3
